"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","regulation","rank","gene_SYMBOL","ENTREZID"
"Wdr37",4.19469916941525e-12,-0.515908361328519,0.151,0.508,1.35425862684571e-07,"Neutrophil 1","Wdr37","down",8.15900895531065,"Wdr37","207615"
"Glipr1",4.51793267351355e-12,-0.742128868970969,0.287,0.698,1.45861456364385e-07,"Neutrophil 1","Glipr1","down",11.6815600533494,"Glipr1","73690"
"Adgre5",4.54687710390498e-12,1.75509843310235,0.764,0.508,1.46795927299572e-07,"Neutrophil 1","Adgre5","up",27.6151091932501,"Adgre5","26364"
"Asap1",4.64980837853835e-12,-0.776664211652016,0.421,0.841,1.50119063501111e-07,"Neutrophil 1","Asap1","down",12.2028215756797,"Asap1","13196"
"Itsn2",4.94980483003225e-12,-0.613207108391855,0.425,0.952,1.59804448937591e-07,"Neutrophil 1","Itsn2","down",9.59627117698373,"Itsn2","20403"
"Spata13",5.21173243698118e-12,1.59600408660951,0.725,0.413,1.68260781727937e-07,"Neutrophil 1","Spata13","up",24.8940740009727,"Spata13","219140"
"Gda",5.31802484565134e-12,-0.813619166170443,0.509,0.921,1.71692432141853e-07,"Neutrophil 1","Gda","down",12.6742023106317,"Gda","14544"
"Casp4",5.8651132310088e-12,2.06644864693594,0.716,0.492,1.89355180663119e-07,"Neutrophil 1","Casp4","up",31.9878838663967,"Casp4","12363"
"Mtpn",5.93681717175524e-12,-0.581614345344429,0.253,0.714,1.91670142390118e-07,"Neutrophil 1","Mtpn","down",8.99611404183995,"Mtpn","14489"
"Lhfpl2",5.94559707936853e-12,-0.632946765963207,0.06,0.286,1.91953601707413e-07,"Neutrophil 1","Lhfpl2","down",9.78916237389052,"Lhfpl2","218454"
"Rab20",5.98930966807786e-12,1.502978998745,0.648,0.286,1.93364862633894e-07,"Neutrophil 1","Rab20","up",23.2340818382038,"Rab20","19332"
"Mtmr3",6.02181788656321e-12,-0.663671920042215,0.396,0.841,1.94414390467693e-07,"Neutrophil 1","Mtmr3","down",10.2559039751636,"Mtmr3","74302"
"Numb",6.29309460933412e-12,-0.76327450839941,0.438,0.873,2.03172559462352e-07,"Neutrophil 1","Numb","down",11.7614573191443,"Numb","18222"
"Rpl37a",6.75369033493798e-12,-0.753709077762874,0.551,0.952,2.18042892463473e-07,"Neutrophil 1","Rpl37a","down",11.5608224932011,"Rpl37a","19981"
"Ypel3",6.83381482172122e-12,-0.540595434172118,0.319,0.825,2.2062971151927e-07,"Neutrophil 1","Ypel3","down",8.2855873178385,"Ypel3","66090"
"Xist",7.57323967194918e-12,-0.641406139032794,0.21,0.635,2.44502042808879e-07,"Neutrophil 1","Xist","down",9.76479411066908,"Xist","213742"
"Ascc3",8.19897124511333e-12,2.07828605559839,0.711,0.508,2.64703786648484e-07,"Neutrophil 1","Ascc3","up",31.4749241028916,"Ascc3","77987"
"Ube2h",8.65706575763594e-12,-0.792131678413741,0.354,0.81,2.79493367985276e-07,"Neutrophil 1","Ube2h","down",11.9534945851259,"Ube2h","22214"
"Tnip1",8.85708021679081e-12,1.79464218345101,0.649,0.317,2.85950834799091e-07,"Neutrophil 1","Tnip1","up",27.0406740937149,"Tnip1","57783"
"Rel",9.10764195209579e-12,1.6794392359062,0.75,0.571,2.94040220423413e-07,"Neutrophil 1","Rel","up",25.2580091424493,"Rel","19696"
"Zfc3h1",9.35517082576904e-12,-0.513171291740577,0.192,0.587,3.02031690109954e-07,"Neutrophil 1","Zfc3h1","down",7.7041040433701,"Zfc3h1","216345"
"Trafd1",9.38755842350024e-12,1.63547948004673,0.588,0.206,3.03077323702705e-07,"Neutrophil 1","Trafd1","up",24.5473659671218,"Trafd1","231712"
"Rab5if",9.92511373336096e-12,-0.598147120646318,0.394,0.921,3.20432296881559e-07,"Neutrophil 1","Rab5if","down",8.94444968793309,"Rab5if","67388"
