"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","regulation","rank","gene_SYMBOL","ENTREZID"
"Nupr1",3.57190096394342e-72,-0.563134896897071,0.581,0.691,1.15318822620913e-67,"M2-like 1","Nupr1","down",86.7963593834715,"Nupr1","56312"
"Trim30d",7.25810267906596e-72,-0.579802049920631,0.554,0.673,2.34327844993644e-67,"M2-like 1","Trim30d","down",88.9541873083435,"Trim30d","209387"
"Gpnmb",3.69447939273401e-71,1.13156419228125,0.248,0.104,1.19276267194417e-66,"M2-like 1","Gpnmb","up",171.765044202504,"Gpnmb","93695"
"Daxx",2.33350034695982e-70,-0.529656511914964,0.588,0.692,7.53370587015977e-66,"M2-like 1","Daxx","down",79.4226449462753,"Daxx","13163"
"Tnf",3.79500836366655e-70,-0.709778276718093,0.728,0.822,1.22521845020975e-65,"M2-like 1","Tnf","down",106.086947590973,"Tnf","21926"
"Slamf9",4.740504856236e-70,-0.774574091814747,0.38,0.53,1.53047199283579e-65,"M2-like 1","Slamf9","down",115.599338937054,"Slamf9","98365"
"Rnf149",8.05756088976454e-70,-0.550266577545552,0.774,0.827,2.60138353326048e-65,"M2-like 1","Rnf149","down",81.8312364637681,"Rnf149","67702"
"A330040F15Rik",1.6161606478537e-68,-0.624506760503582,0.128,0.285,5.21777465159568e-64,"M2-like 1","A330040F15Rik","down",90.998987753677,"A330040F15Rik","74333"
"Ccl8",2.37367414706017e-68,1.26251870964014,0.412,0.242,7.66340698378376e-64,"M2-like 1","Ccl8","up",183.480568032726,"Ccl8","20307"
"Hexb",4.18497883723635e-68,0.572886169216963,0.805,0.664,1.35112041760175e-63,"M2-like 1","Hexb","up",82.9321056192563,"Hexb","15212"
"Tmsb10",9.42839207597708e-68,-0.645479129867584,0.929,0.948,3.0439563817292e-63,"M2-like 1","Tmsb10","down",92.9165288744695,"Tmsb10","19240"
"Resf1",2.03732008241417e-67,-0.708242846810711,0.769,0.814,6.57748788607413e-63,"M2-like 1","Resf1","down",101.405649854237,"Resf1","67246"
"Ifi47",7.384750167197e-67,-0.547966958362491,0.528,0.649,2.38416659147955e-62,"M2-like 1","Ifi47","down",77.7518131995931,"Ifi47","15953"
"Mndal",2.90102528613044e-66,-0.585006656403843,0.914,0.925,9.36596013627213e-62,"M2-like 1","Mndal","down",82.2070038171189,"Mndal","100040462"
"Irak2",4.14015226481503e-66,-0.511441671175374,0.782,0.823,1.33664815869553e-61,"M2-like 1","Irak2","down",71.6875135202194,"Irak2","108960"
"Pou2f2",7.50258058317579e-64,-0.544598938822961,0.753,0.782,2.42220814127831e-59,"M2-like 1","Pou2f2","down",73.5033429334183,"Pou2f2","18987"
"Ptges",1.24050675552463e-62,-0.533413776183631,0.142,0.291,4.00497606021125e-58,"M2-like 1","Ptges","down",70.4972436749818,"Ptges","64292"
"Pnp",2.78750562396987e-61,-0.501126996934083,0.781,0.816,8.99946190698674e-57,"M2-like 1","Pnp","down",64.6705319200284,"Pnp","18950"
"Rac2",9.75208022408567e-61,-0.549317953909348,0.83,0.828,3.14845910034606e-56,"M2-like 1","Rac2","down",70.2016546015702,"Rac2","19354"
"Ccrl2",2.96305373419316e-60,-0.53842391836624,0.832,0.847,9.56621898084261e-56,"M2-like 1","Ccrl2","down",68.2110563636704,"Ccrl2","54199"
"Lgals3",5.46044251294749e-60,0.628972894204382,0.958,0.924,1.7629038653051e-55,"M2-like 1","Lgals3","up",79.2978945904963,"Lgals3","16854"
"Cdk8",1.22236359438216e-59,0.561931337868278,0.948,0.864,3.9464008644628e-55,"M2-like 1","Cdk8","up",70.3927881196683,"Cdk8","264064"
"ENSMUSG00000085786",8.69440279706472e-59,-0.609214025031327,0.521,0.658,2.80698794303235e-54,"M2-like 1","ENSMUSG00000085786","down",75.1206480468705,"Gm15987","100504591"
"Fndc3a",3.33184198083521e-58,-0.543660144547662,0.913,0.908,1.07568518351265e-53,"M2-like 1","Fndc3a","down",66.3069941889405,"Fndc3a","319448"
"Adgre1",3.40222329276902e-58,-0.654666845693288,0.927,0.895,1.09840779007048e-53,"M2-like 1","Adgre1","down",79.8321362259639,"Adgre1","13733"
"Ptpro",3.78838321344663e-57,-0.532482706219195,0.675,0.741,1.22307952046125e-52,"M2-like 1","Ptpro","down",63.6492835229325,"Ptpro","19277"
"Cmpk2",9.23413045893828e-57,-0.746958643991067,0.337,0.478,2.98123901866822e-52,"M2-like 1","Cmpk2","down",88.6207315619386,"Cmpk2","22169"
"Nlrp3",3.52554082517252e-56,-0.506637140061424,0.753,0.819,1.13822085540695e-51,"M2-like 1","Nlrp3","down",59.4297389577429,"Nlrp3","216799"
"Thbs1",4.17120550576403e-55,-0.71724566430792,0.246,0.396,1.34667369753592e-50,"M2-like 1","Thbs1","down",82.3624794369847,"Thbs1","21825"
"Il1rn",4.91699629422556e-53,-0.587069432227733,0.596,0.706,1.58745225359072e-48,"M2-like 1","Il1rn","down",64.6140088968219,"Il1rn","16181"
"Ccl4",6.73274666954265e-53,-0.895014779920281,0.73,0.785,2.17366726226184e-48,"M2-like 1","Ccl4","down",98.225785584065,"Ccl4","20303"
"Tgfbi",2.72568115941293e-52,-0.850534504019656,0.74,0.765,8.79986162316464e-48,"M2-like 1","Tgfbi","down",92.1548593592277,"Tgfbi","21810"
"Samsn1",7.22853120686491e-50,-0.531865411249909,0.582,0.673,2.33373130013634e-45,"M2-like 1","Samsn1","down",54.6592024033365,"Samsn1","67742"
"Akt3",1.10915381727183e-49,-0.50367395450227,0.748,0.798,3.58090309906211e-45,"M2-like 1","Akt3","down",51.5463522044432,"Akt3","23797"
"Dst",1.43730562258537e-49,-0.602611873435508,0.437,0.55,4.64034120251687e-45,"M2-like 1","Dst","down",61.5155488376444,"Dst","13518"
"Srgn",1.64646023354169e-49,-0.574762308303229,0.936,0.91,5.31559686398935e-45,"M2-like 1","Srgn","down",58.5945365891217,"Srgn","19073"
"Morrbid",5.08045442650869e-49,-0.624548990220384,0.547,0.66,1.64022471159833e-44,"M2-like 1","Morrbid","down",62.9663489602539,"Morrbid","100043424"
"Acsl1",6.48345526961381e-47,-0.647318277832961,0.428,0.526,2.09318353379482e-42,"M2-like 1","Acsl1","down",62.1230624794927,"Acsl1","14081"
"Etv6",9.04312508672038e-47,-0.514343319419812,0.869,0.877,2.91957293424768e-42,"M2-like 1","Etv6","down",49.1903222757929,"Etv6","14011"
"Cd14",1.69455103897026e-45,-0.557093261887439,0.893,0.875,5.47085802931548e-41,"M2-like 1","Cd14","down",51.6461962028055,"Cd14","12475"
"Malt1",2.68281475748539e-45,-0.904272885342308,0.663,0.718,8.66146744454159e-41,"M2-like 1","Malt1","down",83.4165554896443,"Malt1","240354"
"Lipg",1.36146113155127e-44,-0.501930653762096,0.029,0.12,4.39547726321328e-40,"M2-like 1","Lipg","down",45.486375104146,"Lipg","16891"
"Bcl2a1b",6.45951668093232e-43,-0.614358068225653,0.721,0.753,2.085454960439e-38,"M2-like 1","Bcl2a1b","down",53.3037005101956,"Bcl2a1b","12045"
"Maml3",1.36149385299215e-42,-0.565154509954091,0.456,0.567,4.39558290438514e-38,"M2-like 1","Maml3","down",48.6132534416675,"Maml3","433586"
"F10",1.95104200187977e-39,-0.982562081439079,0.343,0.445,6.29893910306884e-35,"M2-like 1","F10","down",77.3768592532056,"F10","14058"
"Dennd4a",1.76025012091512e-38,-0.611912667278322,0.805,0.817,5.68296751537448e-34,"M2-like 1","Dennd4a","down",46.8421714482591,"Dennd4a","102442"
"Cd86",1.5090902782926e-32,-0.50708652914715,0.744,0.797,4.87209796346767e-28,"M2-like 1","Cd86","down",31.8900927081002,"Cd86","12524"
"Slc7a11",3.16266412399669e-29,-0.927196337801038,0.217,0.315,1.02106611243233e-24,"M2-like 1","Slc7a11","down",51.2194336461089,"Slc7a11","26570"
"Ctsk",2.7683142912271e-27,0.588474366448371,0.318,0.203,8.93750268922668e-23,"M2-like 1","Ctsk","up",29.8763733523427,"Ctsk","13038"
"Mmp12",3.58094277871281e-25,1.27140831632422,0.17,0.094,1.15610737610743e-20,"M2-like 1","Mmp12","up",58.3660879492286,"Mmp12","17381"
"Pcdh7",4.69922880991265e-23,-0.699389389373172,0.136,0.217,1.5171460212803e-18,"M2-like 1","Pcdh7","down",28.6957373338066,"Pcdh7","54216"
"Cd74",3.0673875681507e-22,-0.995985688166936,0.612,0.661,9.90306076377452e-18,"M2-like 1","Cd74","down",38.9965126842474,"Cd74","16149"
"Cxcl2",3.88290115052873e-22,-0.592731088259926,0.908,0.896,1.2535946364482e-17,"M2-like 1","Cxcl2","down",23.0678678596234,"Cxcl2","20310"
"Tmem176b",6.24727509675995e-22,-0.523031588659198,0.319,0.401,2.01693276498895e-17,"M2-like 1","Tmem176b","down",20.1065731503089,"Tmem176b","65963"
"Mxd1",7.99673692008142e-22,-0.55628064091782,0.524,0.573,2.58174651464829e-17,"M2-like 1","Mxd1","down",21.2474063545283,"Mxd1","17119"
"Cxcl9",1.77226488148001e-21,-0.736829275227943,0.028,0.08,5.72175716985821e-17,"M2-like 1","Cxcl9","down",27.5571722004967,"Cxcl9","17329"
"Slc7a2",1.29799692041877e-17,-0.592336007761876,0.114,0.178,4.19058305757201e-13,"M2-like 1","Slc7a2","down",16.8820301461361,"Slc7a2","11988"
"Il15",3.45908448747079e-16,-0.510138367961844,0.549,0.572,1.11676542677994e-11,"M2-like 1","Il15","down",12.8646691223662,"Il15","16168"
"Ccl12",8.27334347529881e-09,-0.573899971773638,0.359,0.399,0.000267104894100022,"M2-like 1","Ccl12","down",4.72197385280758,"Ccl12","20293"
"Stfa3",3.22844761247026e-08,-0.783725224145601,0.027,0.052,0.00104230431168602,"M2-like 1","Stfa3","down",5.38130922538816,"Stfa3","20863"
"Saa3",4.89369558136875e-08,-1.54694957310885,0.555,0.545,0.0015799296184449,"M2-like 1","Saa3","down",9.97840481895483,"Saa3","20210"
