"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","regulation","rank","gene_SYMBOL","ENTREZID"
"Ms4a6d",4.22884520317289e-302,0.852329454277963,0.946,0.949,1.36528267384437e-297,"M1-like","Ms4a6d","up",582.615262862348,"Ms4a6d","68774"
"Ahnak",5.08200927137227e-302,-0.896536128234303,0.913,0.977,1.64072669326254e-297,"M1-like","Ahnak","down",612.668254862721,"Ahnak","66395"
"COX1",1.60419594635838e-301,-0.746470994873034,0.959,0.994,5.17914661281803e-297,"M1-like","COX1","down",509.259780310617,"COX1","17708"
"Lamp1",2.14213048505233e-301,-0.641517218445548,0.944,0.982,6.91586827099146e-297,"M1-like","Lamp1","down",437.472373396899,"Lamp1","16783"
"Tns1",7.97049216255507e-298,-0.576703231329436,0.064,0.404,2.5732733946809e-293,"M1-like","Tns1","down",388.532033559144,"Tns1","21961"
"Ifi44",3.81622571249479e-293,1.04136763490667,0.911,0.828,1.23206847127894e-288,"M1-like","Ifi44","up",690.359898992877,"Ifi44","99899"
"Mrc1",3.79700168470882e-285,-1.65125362698203,0.352,0.704,1.22586199390824e-280,"M1-like","Mrc1","down",1064.26628781627,"Mrc1","17533"
"Ccl6",2.49870534083331e-284,-1.86104881580333,0.714,0.893,8.06707019288034e-280,"M1-like","Ccl6","down",1195.97703317839,"Ccl6","20305"
"Emp1",5.63562602330434e-283,-0.842465974860652,0.567,0.896,1.8194618616238e-278,"M1-like","Emp1","down",538.773937189997,"Emp1","13730"
"Rasal2",1.17552231435222e-282,-0.753262078283802,0.28,0.669,3.79517379188613e-278,"M1-like","Rasal2","down",481.172460669661,"Rasal2","226525"
"Fcer1g",3.29739368272665e-279,0.693213929563742,0.965,0.98,1.0645635504683e-274,"M1-like","Fcer1g","up",437.311061706049,"Fcer1g","14127"
"Creg1",5.66896427502591e-278,-0.919392694512085,0.715,0.908,1.83022511619212e-273,"M1-like","Creg1","down",577.379799469979,"Creg1","433375"
"Eps8",5.68019848597028e-276,-0.821339402379759,0.275,0.656,1.83385208119551e-271,"M1-like","Eps8","down",512.01817161389,"Eps8","13860"
"Idh1",3.86916270990278e-270,-0.561958215877204,0.33,0.694,1.24915918089211e-265,"M1-like","Idh1","down",342.773482631934,"Idh1","15926"
"Rnf150",1.16197449590395e-267,-0.82342303336509,0.117,0.46,3.75143466002592e-263,"M1-like","Rnf150","down",497.559742122928,"Rnf150","330812"
"Gda",4.40418152527227e-267,-0.936299400524502,0.614,0.873,1.42189000543415e-262,"M1-like","Gda","down",564.518603868497,"Gda","14544"
"Fn1",1.92955874628902e-262,-1.73986517746663,0.399,0.739,6.22958041239409e-258,"M1-like","Fn1","down",1030.4136553403,"Fn1","14268"
"Psmb8",4.03163664763918e-261,0.790988881932521,0.884,0.859,1.30161389169031e-256,"M1-like","Psmb8","up",466.049208730641,"Psmb8","16913"
"COX2",6.50429371905941e-261,-0.721937516701539,0.931,0.986,2.09991122719833e-256,"M1-like","COX2","down",425.018974506443,"COX2","17709"
"Cd36",2.19850006884968e-260,-1.3941757062849,0.402,0.731,7.0978574722812e-256,"M1-like","Cd36","down",819.081003012599,"Cd36","12491"
"Fcgr1",3.4102573613405e-260,1.02200910099878,0.89,0.834,1.10100158910878e-255,"M1-like","Fcgr1","up",599.983706796936,"Fcgr1","14129"
"St6gal1",3.87328380126037e-260,-0.550059458691975,0.127,0.479,1.25048967523691e-255,"M1-like","St6gal1","down",322.849513351103,"St6gal1","20440"
"Ctsl",2.22687663073356e-259,-1.00974048430838,0.915,0.989,7.18947120232328e-255,"M1-like","Ctsl","down",590.886581801312,"Ctsl","13039"
"ND4",4.62303722322359e-259,-0.820739344714874,0.869,0.98,1.49254756751774e-254,"M1-like","ND4","down",479.686140480803,"ND4","17719"
"Stat1",1.67035316762812e-258,0.941730666026689,0.89,0.805,5.39273520168739e-254,"M1-like","Stat1","up",549.190542459559,"Stat1","20846"
"Cd63",1.60370030650187e-255,-1.01684367160262,0.493,0.806,5.17754643954128e-251,"M1-like","Cd63","down",586.01161125463,"Cd63","12512"
"Hexa",5.09818908597119e-255,-0.695944852983363,0.793,0.934,1.6459503464058e-250,"M1-like","Hexa","down",400.271259203938,"Hexa","15211"
"Ly6e",1.05192248234894e-254,0.757061305569678,0.965,0.965,3.39613173426355e-250,"M1-like","Ly6e","up",434.873907963937,"Ly6e","17069"
"Cbr2",1.35785132247571e-253,-0.858386836297508,0.122,0.449,4.38382299461284e-249,"M1-like","Cbr2","down",490.88204650653,"Cbr2","12409"
"Anxa3",1.28342825488586e-252,-0.62370188157113,0.336,0.695,4.14354812089899e-248,"M1-like","Anxa3","down",355.272785493722,"Anxa3","11745"
"Clec4a3",1.95288243587351e-249,0.831417073174828,0.914,0.903,6.30488094421761e-245,"M1-like","Clec4a3","up",467.49918861176,"Clec4a3","73149"
"Ecm1",1.1349936675879e-244,-0.8469080529027,0.573,0.839,3.66432705580752e-240,"M1-like","Ecm1","down",466.918853201747,"Ecm1","13601"
"Mt1",8.37664029335163e-244,-0.921450193234777,0.536,0.82,2.70439831870857e-239,"M1-like","Mt1","down",506.173745586415,"Mt1","17748"
"Dusp3",7.47290307249709e-242,-0.612640558017299,0.6,0.855,2.41262675695568e-237,"M1-like","Dusp3","down",333.786150452595,"Dusp3","72349"
"Irf7",7.53427769998679e-239,0.860874498187792,0.935,0.914,2.43244155544074e-234,"M1-like","Irf7","up",463.078180558425,"Irf7","54123"
"Pdgfc",9.67270948145583e-237,-0.661359446092882,0.053,0.336,3.12283425608802e-232,"M1-like","Pdgfc","down",352.544928070523,"Pdgfc","54635"
"Gas6",5.58183536117494e-236,-0.739199958598547,0.05,0.324,1.80209554635533e-231,"M1-like","Gas6","down",392.7430041011,"Gas6","14456"
